,Leitwind:LTW90/1000,Suzlon:S120/2100,Betz:126/2500,Gamesa:G126/2500_low,Theory:150sp/75pct,Theory:200sp/75pct,Theory:250sp/75pct,Theory:300sp/75pct
0,0,0,0,0,0,0,0,0
0.5,0,0,0.565722297,0,0,0,0,0
1,0,0,4.525778377,0,0,0,0,0
1.5,0,0,15.27450202,0,0,0,0,0
2,0,0,36.20622701,0,0,0,0,0
2.5,19.5,0,70.71528714,0,0,0,0,0
3,39,0,122.1960162,83.58948809,0.049,0.03675,0.0294,0.0245
3.5,73,63.5574593,194.0427479,181.7212256,0.077810185,0.058357639,0.046686111,0.038905093
4,107,140.9342461,289.6498161,305.1294139,0.116148148,0.087111111,0.069688889,0.058074074
4.5,161.5,241.0194377,412.4115546,452.0058743,0.165375,0.12403125,0.099225,0.0826875
5,216,357.0846179,565.7222971,613.2866378,0.226851852,0.170138889,0.136111111,0.113425926
5.5,297.5,491.6529428,752.9763774,789.6306364,0.301939815,0.226454861,0.181163889,0.150969907
6,379,653.1349327,977.5681294,974.7718477,0.392,0.294,0.2352,0.196
6.5,490.5,840.6895355,1242.891887,1176.381019,0.498393519,0.373795139,0.299036111,0.249196759
7,602,1061.045167,1552.341983,1385.489306,0.622481481,0.466861111,0.373488889,0.311240741
7.5,735.5,1309.155516,1909.312753,1607.937972,0.765625,0.57421875,0.459375,0.3828125
8,869,1567.35849,2317.198529,1836.596018,0.929185185,0.696888889,0.557511111,0.464592593
8.5,934.5,1823.038307,2500,2025.970992,1,0.835892361,0.668713889,0.557261574
9,1000,2008.069754,2500,2172.110827,1,0.99225,0.7938,0.6615
9.5,1000,2161.141223,2500,2289.540578,1,1,0.933586111,0.777988426
10,1000,2237.676958,2500,2378.300176,1,1,1,0.907407407
10.5,1000,2248.610635,2500,2445.131546,1,1,1,1
11,1000,2248.610635,2500,2486.262693,1,1,1,1
11.5,1000,2248.610635,2500,2500,1,1,1,1
12,1000,2248.610635,2500,2500,1,1,1,1
12.5,1000,2248.610635,2500,2500,1,1,1,1
13,1000,2248.610635,2500,2500,1,1,1,1
13.5,1000,2248.610635,2500,2500,1,1,1,1
14,1000,2248.610635,2500,2500,1,1,1,1
14.5,1000,2248.610635,2500,2500,1,1,1,1
15,1000,2248.610635,2500,2500,1,1,1,1
15.5,1000,2248.610635,2500,2500,1,1,1,1
16,1000,2248.610635,2500,2500,1,1,1,1
16.5,1000,2248.610635,2500,2500,1,1,1,1
17,1000,2248.610635,2500,2500,1,1,1,1
17.5,1000,2248.610635,2500,2500,1,1,1,1
18,1000,2248.610635,2500,2500,1,1,1,1
18.5,1000,0,2500,2500,1,1,1,1
19,1000,0,2500,2500,1,1,1,1
19.5,1000,0,2500,2500,1,1,1,1
20,1000,0,2500,2500,1,1,1,1
20.5,1000,0,2500,2500,1,1,1,1
21,1000,0,2500,2500,1,1,1,1
21.5,1000,0,2500,0,1,1,1,1
22,1000,0,2500,0,1,1,1,1
22.5,1000,0,2500,0,0,1,1,1
23,1000,0,2500,0,0,1,1,1
23.5,1000,0,2500,0,0,0,1,1
24,1000,0,2500,0,0,0,1,1
24.5,1000,0,2500,0,0,0,0,1
25,1000,0,2500,0,0,0,0,1
25.5,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
26.5,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
27.5,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
28.5,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
29.5,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
30.5,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
31.5,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
32.5,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
33.5,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
34.5,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
